ADDRESS,INTERSECTION,RECORDUDATE,RECORD_TIME,VEHICLE_TYPE,LICENSE,STATE,COUNTY,TRACT,BLOCK_GROUP
4700 W IRVING PARK ROA,IRVING PARK AND KILPATRICK,7/21/2014,19:35:11,police,YNA-318,,,,
4700 W IRVING PARK ROA,IRVING PARK AND KILPATRICK,8/6/2014,07:48:31,sedan,HFL-268,,,,
3100 S DR MARTIN L KING,31ST ST AND MARTIN LUTHER KING DRIVE,7/27/2014,11:35:24,suv,SBF-816,,,,
3700 W IRVING PARK ROA,ELSTON AND IRVING PARK,7/25/2014,08:29:40,emergency,GPE-560,,,,
3100 S DR MARTIN L KING,31ST ST AND MARTIN LUTHER KING DRIVE,8/1/2014,09:09:08,ambulance,NPB-275,,,,
0 S CENTRAL AVENUE,MADISON AND CENTRAL,7/8/2014,18:03:32,emergency,NZP-598,,,,
4700 W IRVING PARK ROA,IRVING PARK AND KILPATRICK,7/3/2014,15:01:04,police,UBN-368,,,,
5200 W IRVING PARK ROA,IRVING PARK AND LARAMIE,8/6/2014,04:48:34,sedan,HEH-102,,,,
0 N HAMLIN BOULEVARD,HAMLIN AND MADISON,8/4/2014,07:38:01,ambulance,IOH-806,,,,
0 S CENTRAL AVENUE,MADISON AND CENTRAL,7/30/2014,12:30:17,ambulance,LZK-151,,,,
2800 W IRVING PARK ROA,IRVING PARK AND CALIFORNIA,7/13/2014,01:28:55,truck,RLZ-399,,,,
7900 S JEFFERY BOULEV,JEFFERY AND 79TH,7/8/2014,03:26:51,emergency,GSY-091,,,,
3700 W IRVING PARK ROA,ELSTON AND IRVING PARK,7/7/2014,15:10:32,police,LJC-585,,,,
3700 W IRVING PARK ROA,ELSTON AND IRVING PARK,7/20/2014,21:07:44,truck,RJR-011,,,,
2400 W VAN BUREN STREE,VAN BUREN AND WESTERN,7/14/2014,07:25:36,truck,HFL-219,,,,
2400 W VAN BUREN STREE,VAN BUREN AND WESTERN,8/9/2014,18:32:25,ambulance,KMC-274,,,,
3700 W IRVING PARK ROA,ELSTON AND IRVING PARK,7/19/2014,06:45:33,suv,OPC-734,,,,
2800 W IRVING PARK ROA,IRVING PARK AND CALIFORNIA,7/3/2014,07:19:25,police,TOE-396,,,,
2800 W IRVING PARK ROA,IRVING PARK AND CALIFORNIA,7/28/2014,05:03:59,truck,FNN-408,,,,
2800 N KIMBALL AVENUE,KIMBALL AND DIVERSEY,7/8/2014,03:01:18,truck,RCL-601,,,,
1600 N HOMAN AVENUE,HOMAN/KIMBALL AND NORTH,7/17/2014,20:46:47,police,FFM-979,,,,
2800 W IRVING PARK ROA,IRVING PARK AND CALIFORNIA,7/4/2014,11:05:12,ambulance,NRH-055,,,,
2800 W 31ST,31ST AND CALIFORNIA,7/9/2014,17:24:54,emergency,ZLK-130,,,,
2800 W IRVING PARK ROA,IRVING PARK AND CALIFORNIA,8/8/2014,19:49:13,police,ASV-434,,,,
2800 W IRVING PARK ROA,IRVING PARK AND CALIFORNIA,8/6/2014,23:29:41,emergency,EIJ-740,,,,
2800 W IRVING PARK ROA,IRVING PARK AND CALIFORNIA,7/3/2014,16:49:58,emergency,HII-263,,,,
5500 S WENTWORTH AVEN,WENTWORTH AND GARFIELD,7/15/2014,19:07:54,emergency,UIM-018,,,,
4700 W IRVING PARK ROA,IRVING PARK AND KILPATRICK,7/12/2014,07:34:53,sedan,BDL-696,,,,
1600 N HOMAN AVENUE,HOMAN/KIMBALL AND NORTH,7/28/2014,08:15:46,sedan,YTA-362,,,,
10300 S HALSTED STREE,HALSTED AND 103RD,7/3/2014,14:15:50,police,JNJ-313,,,,
2800 N KIMBALL AVENUE,KIMBALL AND DIVERSEY,7/10/2014,14:00:46,emergency,OUV-987,,,,
5200 W IRVING PARK ROA,IRVING PARK AND LARAMIE,7/31/2014,08:47:48,ambulance,DJG-948,,,,
4700 W IRVING PARK ROA,IRVING PARK AND KILPATRICK,7/4/2014,09:54:24,police,ISN-865,,,,
0 N HAMLIN BOULEVARD,HAMLIN AND MADISON,7/29/2014,07:38:14,ambulance,GJO-097,,,,
3100 S DR MARTIN L KING,31ST ST AND MARTIN LUTHER KING DRIVE,8/7/2014,17:05:46,emergency,VJD-883,,,,
2800 N KIMBALL AVENUE,KIMBALL AND DIVERSEY,8/9/2014,14:24:22,police,IKL-396,,,,
2400 W VAN BUREN STREE,VAN BUREN AND WESTERN,8/3/2014,11:03:49,sedan,NKY-322,,,,
5200 W IRVING PARK ROA,IRVING PARK AND LARAMIE,7/1/2014,03:13:34,sedan,ZAY-117,,,,
2800 N KIMBALL AVENUE,KIMBALL AND DIVERSEY,8/8/2014,07:01:33,police,CMJ-168,,,,
4700 W IRVING PARK ROA,IRVING PARK AND KILPATRICK,7/27/2014,11:45:46,emergency,THU-657,,,,
3700 W IRVING PARK ROA,ELSTON AND IRVING PARK,7/11/2014,19:13:10,emergency,AIA-992,,,,
5200 W IRVING PARK ROA,IRVING PARK AND LARAMIE,7/3/2014,18:10:56,emergency,YGK-282,,,,
2400 W VAN BUREN STREE,VAN BUREN AND WESTERN,7/19/2014,11:02:00,truck,MJA-821,,,,
1600 W DIVERSEY PARKWA,ASHLAND AND DIVERSEY,7/17/2014,09:26:47,ambulance,CJV-951,,,,
11500 S HALSTED STREE,115TH AND HALSTED,7/25/2014,10:24:39,truck,EER-179,,,,
1600 W IRVING PARK ROA,ASHLAND AND IRVING PARK,8/4/2014,23:23:59,sedan,EZL-980,,,,
2800 N KIMBALL AVENUE,KIMBALL AND DIVERSEY,7/1/2014,07:15:58,ambulance,ARF-630,,,,
0 S CENTRAL AVENUE,MADISON AND CENTRAL,8/1/2014,18:41:07,suv,GLV-812,,,,
0 S CENTRAL AVENUE,MADISON AND CENTRAL,7/13/2014,12:17:25,truck,VZO-257,,,,
5200 W IRVING PARK ROA,IRVING PARK AND LARAMIE,7/30/2014,14:00:01,sedan,KDP-915,,,,
3700 W IRVING PARK ROA,ELSTON AND IRVING PARK,7/17/2014,12:05:30,emergency,CIA-905,,,,
4700 W IRVING PARK ROA,IRVING PARK AND KILPATRICK,7/19/2014,10:40:02,suv,JHB-114,,,,
0 S CENTRAL AVENUE,MADISON AND CENTRAL,8/4/2014,02:55:40,sedan,SIK-071,,,,
0 S CENTRAL AVENUE,MADISON AND CENTRAL,7/11/2014,23:10:33,ambulance,YAJ-162,,,,
3700 W IRVING PARK ROA,ELSTON AND IRVING PARK,7/3/2014,23:53:52,suv,FJK-671,,,,
5200 W IRVING PARK ROA,IRVING PARK AND LARAMIE,7/25/2014,00:10:28,police,OHC-823,,,,
2800 N KIMBALL AVENUE,KIMBALL AND DIVERSEY,8/5/2014,07:20:08,emergency,KUZ-323,,,,
4700 W IRVING PARK ROA,IRVING PARK AND KILPATRICK,7/22/2014,14:32:11,police,KED-760,,,,
0 N ASHLAND AVE,ASHLAND AND MADISON,7/21/2014,14:57:36,truck,JFI-717,,,,
2800 W IRVING PARK ROA,IRVING PARK AND CALIFORNIA,7/15/2014,09:20:29,sedan,SGL-697,,,,
2800 W IRVING PARK ROA,IRVING PARK AND CALIFORNIA,7/13/2014,16:20:43,suv,OLZ-045,,,,
2800 W IRVING PARK ROA,IRVING PARK AND CALIFORNIA,8/5/2014,01:10:22,suv,BTL-688,,,,
10300 S HALSTED STREE,HALSTED AND 103RD,7/14/2014,16:18:54,emergency,BEK-023,,,,
2800 W IRVING PARK ROA,IRVING PARK AND CALIFORNIA,8/9/2014,19:09:22,suv,CLG-483,,,,
5200 W IRVING PARK ROA,IRVING PARK AND LARAMIE,8/2/2014,10:27:16,sedan,DUT-960,,,,
0 N ASHLAND AVE,ASHLAND AND MADISON,8/7/2014,01:59:52,police,NAY-298,,,,
0 S CENTRAL AVENUE,MADISON AND CENTRAL,8/7/2014,06:58:50,emergency,BHH-525,,,,
10300 S HALSTED STREE,HALSTED AND 103RD,7/31/2014,03:01:39,ambulance,PAB-195,,,,
0 S CENTRAL AVENUE,MADISON AND CENTRAL,8/5/2014,16:29:27,ambulance,CSU-381,,,,
4700 W IRVING PARK ROA,IRVING PARK AND KILPATRICK,8/7/2014,19:59:42,sedan,KTH-149,,,,
2800 W IRVING PARK ROA,IRVING PARK AND CALIFORNIA,7/2/2014,15:57:08,ambulance,VFI-353,,,,
5200 W IRVING PARK ROA,IRVING PARK AND LARAMIE,7/22/2014,05:05:00,suv,ICZ-903,,,,
5200 W IRVING PARK ROA,IRVING PARK AND LARAMIE,8/5/2014,14:03:11,sedan,KZA-878,,,,
5500 S WENTWORTH AVEN,WENTWORTH AND GARFIELD,7/13/2014,03:03:55,truck,KSO-088,,,,
7900 S JEFFERY BOULEV,JEFFERY AND 79TH,8/9/2014,07:28:42,suv,YCU-734,,,,
5200 W IRVING PARK ROA,IRVING PARK AND LARAMIE,7/4/2014,10:27:36,truck,NLZ-516,,,,
2400 W VAN BUREN STREE,VAN BUREN AND WESTERN,7/1/2014,00:40:16,police,RJR-567,,,,
5200 W IRVING PARK ROA,IRVING PARK AND LARAMIE,7/28/2014,01:54:03,sedan,JUK-297,,,,
2400 W VAN BUREN STREE,VAN BUREN AND WESTERN,7/9/2014,19:12:21,emergency,JIE-806,,,,
1600 W DIVERSEY PARKWA,ASHLAND AND DIVERSEY,7/27/2014,17:43:38,sedan,TBT-929,,,,
5500 S WENTWORTH AVEN,WENTWORTH AND GARFIELD,7/18/2014,13:27:06,truck,OVU-212,,,,
7900 S JEFFERY BOULEV,JEFFERY AND 79TH,7/21/2014,14:59:56,emergency,KYR-128,,,,
1600 N HOMAN AVENUE,HOMAN/KIMBALL AND NORTH,7/21/2014,06:28:34,suv,OGK-194,,,,
4700 W IRVING PARK ROA,IRVING PARK AND KILPATRICK,7/13/2014,01:31:56,ambulance,BDR-085,,,,
5500 S WENTWORTH AVEN,WENTWORTH AND GARFIELD,7/8/2014,07:49:40,sedan,RTG-480,,,,
4700 W IRVING PARK ROA,IRVING PARK AND KILPATRICK,7/9/2014,21:17:32,truck,CZB-702,,,,
1600 N HOMAN AVENUE,HOMAN/KIMBALL AND NORTH,8/2/2014,09:26:05,suv,UCZ-576,,,,
4700 W IRVING PARK ROA,IRVING PARK AND KILPATRICK,7/30/2014,08:46:19,truck,ZAB-867,,,,
2400 W VAN BUREN STREE,VAN BUREN AND WESTERN,7/24/2014,03:26:13,truck,RNC-126,,,,
1600 W DIVERSEY PARKWA,ASHLAND AND DIVERSEY,7/9/2014,03:54:49,sedan,PSC-498,,,,
0 N ASHLAND AVE,ASHLAND AND MADISON,7/2/2014,00:39:43,emergency,HME-432,,,,
5500 S WENTWORTH AVEN,WENTWORTH AND GARFIELD,7/4/2014,20:27:34,ambulance,IHJ-727,,,,
5200 W IRVING PARK ROA,IRVING PARK AND LARAMIE,7/14/2014,22:09:51,police,TTC-830,,,,
0 S CENTRAL AVENUE,MADISON AND CENTRAL,7/18/2014,13:03:26,sedan,EMM-718,,,,
7900 S JEFFERY BOULEV,JEFFERY AND 79TH,8/4/2014,08:00:57,emergency,NAJ-244,,,,
2800 W 31ST,31ST AND CALIFORNIA,7/31/2014,07:00:59,emergency,KTH-573,,,,
4700 W IRVING PARK ROA,IRVING PARK AND KILPATRICK,7/15/2014,15:07:26,emergency,PVL-696,,,,
2800 W 31ST,31ST AND CALIFORNIA,7/10/2014,09:30:23,truck,RNS-619,,,,
5200 W IRVING PARK ROA,IRVING PARK AND LARAMIE,7/2/2014,03:02:40,truck,LOS-455,,,,
11500 S HALSTED STREE,115TH AND HALSTED,7/12/2014,08:30:29,police,BYZ-198,,,,
3100 S DR MARTIN L KING,31ST ST AND MARTIN LUTHER KING DRIVE,7/7/2014,09:02:23,ambulance,HMJ-696,,,,
0 S CENTRAL AVENUE,MADISON AND CENTRAL,7/31/2014,14:26:08,sedan,TLG-488,,,,
1600 W IRVING PARK ROA,ASHLAND AND IRVING PARK,7/27/2014,03:34:48,ambulance,OOI-772,,,,
2400 W VAN BUREN STREE,VAN BUREN AND WESTERN,7/10/2014,22:04:47,police,PJF-667,,,,
11500 S HALSTED STREE,115TH AND HALSTED,7/6/2014,01:51:36,truck,CGH-853,,,,
3700 W IRVING PARK ROA,ELSTON AND IRVING PARK,7/30/2014,10:47:03,suv,NVM-169,,,,
1600 W DIVERSEY PARKWA,ASHLAND AND DIVERSEY,7/19/2014,16:18:18,suv,ZID-657,,,,
3100 S DR MARTIN L KING,31ST ST AND MARTIN LUTHER KING DRIVE,7/26/2014,18:15:15,truck,FPY-715,,,,
2800 W IRVING PARK ROA,IRVING PARK AND CALIFORNIA,7/25/2014,17:17:48,truck,MJG-271,,,,
2800 W IRVING PARK ROA,IRVING PARK AND CALIFORNIA,7/24/2014,10:17:25,sedan,EDI-383,,,,
11500 S HALSTED STREE,115TH AND HALSTED,7/27/2014,10:32:34,truck,AYZ-968,,,,
5200 W IRVING PARK ROA,IRVING PARK AND LARAMIE,7/28/2014,09:40:48,suv,MTA-871,,,,
7900 S JEFFERY BOULEV,JEFFERY AND 79TH,8/7/2014,10:30:50,truck,ATD-138,,,,
11500 S HALSTED STREE,115TH AND HALSTED,7/21/2014,09:29:45,truck,PRS-249,,,,
3700 W IRVING PARK ROA,ELSTON AND IRVING PARK,7/29/2014,22:04:20,suv,ZIO-012,,,,
5500 S WENTWORTH AVEN,WENTWORTH AND GARFIELD,7/10/2014,05:51:39,ambulance,LNO-718,,,,
5500 S WENTWORTH AVEN,WENTWORTH AND GARFIELD,7/9/2014,11:58:01,sedan,AYK-134,,,,
2400 W VAN BUREN STREE,VAN BUREN AND WESTERN,7/8/2014,19:28:14,suv,JVZ-025,,,,
2800 N KIMBALL AVENUE,KIMBALL AND DIVERSEY,7/19/2014,00:38:47,truck,LBP-971,,,,
4700 W IRVING PARK ROA,IRVING PARK AND KILPATRICK,7/5/2014,17:32:29,suv,DUC-916,,,,
1600 W DIVERSEY PARKWA,ASHLAND AND DIVERSEY,7/30/2014,17:35:46,sedan,TUK-945,,,,
0 S CENTRAL AVENUE,MADISON AND CENTRAL,7/6/2014,20:21:57,truck,LHO-789,,,,
5200 W IRVING PARK ROA,IRVING PARK AND LARAMIE,7/17/2014,23:00:48,sedan,RCS-816,,,,
5500 S WENTWORTH AVEN,WENTWORTH AND GARFIELD,7/26/2014,01:46:39,police,BZG-293,,,,
11500 S HALSTED STREE,115TH AND HALSTED,7/24/2014,12:45:05,truck,GCJ-996,,,,
0 N ASHLAND AVE,ASHLAND AND MADISON,7/14/2014,10:53:39,sedan,NKT-453,,,,
0 S CENTRAL AVENUE,MADISON AND CENTRAL,7/25/2014,01:32:12,ambulance,TJT-587,,,,
2800 W 31ST,31ST AND CALIFORNIA,7/6/2014,22:57:27,ambulance,BCS-354,,,,
2800 W IRVING PARK ROA,IRVING PARK AND CALIFORNIA,7/12/2014,08:56:25,truck,ASA-327,,,,
2800 W IRVING PARK ROA,IRVING PARK AND CALIFORNIA,7/8/2014,06:14:15,ambulance,TDU-470,,,,
0 N HAMLIN BOULEVARD,HAMLIN AND MADISON,7/30/2014,19:47:27,police,USU-940,,,,
2800 W IRVING PARK ROA,IRVING PARK AND CALIFORNIA,7/14/2014,04:09:46,ambulance,NJB-746,,,,
5200 W IRVING PARK ROA,IRVING PARK AND LARAMIE,7/21/2014,09:53:08,truck,SHS-488,,,,
2800 N KIMBALL AVENUE,KIMBALL AND DIVERSEY,7/27/2014,03:37:07,emergency,AEF-815,,,,
1600 N HOMAN AVENUE,HOMAN/KIMBALL AND NORTH,7/31/2014,17:33:42,emergency,HZT-019,,,,
2800 N KIMBALL AVENUE,KIMBALL AND DIVERSEY,7/18/2014,17:24:48,suv,RCE-904,,,,
10300 S HALSTED STREE,HALSTED AND 103RD,7/30/2014,18:21:47,truck,TUB-629,,,,
1600 W DIVERSEY PARKWA,ASHLAND AND DIVERSEY,7/31/2014,10:22:56,ambulance,FBS-021,,,,
10300 S HALSTED STREE,HALSTED AND 103RD,8/8/2014,06:29:05,truck,GSB-782,,,,
2400 W VAN BUREN STREE,VAN BUREN AND WESTERN,8/6/2014,11:45:14,sedan,OCD-563,,,,
1600 W DIVERSEY PARKWA,ASHLAND AND DIVERSEY,7/7/2014,14:21:36,ambulance,PBL-948,,,,
0 S CENTRAL AVENUE,MADISON AND CENTRAL,8/8/2014,00:13:09,emergency,DIM-402,,,,
400 W BELMONT AVE,LAKE SHORE DR AND BELMONT,9/9/2014,00:19:36,police,LAL-821,17,031,061902,1
5500 S WENTWORTH AVEN,WENTWORTH AND GARFIELD,7/25/2014,23:42:40,sedan,LFD-018,,,,
5200 W IRVING PARK ROA,IRVING PARK AND LARAMIE,7/16/2014,09:02:18,emergency,TKS-279,,,,
2800 W IRVING PARK ROA,IRVING PARK AND CALIFORNIA,8/4/2014,06:56:39,police,AAR-781,,,,
4700 W IRVING PARK ROA,IRVING PARK AND KILPATRICK,8/9/2014,04:11:48,emergency,PDH-934,,,,
5200 W IRVING PARK ROA,IRVING PARK AND LARAMIE,7/23/2014,07:34:35,ambulance,SAO-778,,,,
1600 N HOMAN AVENUE,HOMAN/KIMBALL AND NORTH,8/1/2014,06:43:19,suv,ERH-762,,,,
3700 W IRVING PARK ROA,ELSTON AND IRVING PARK,8/7/2014,17:44:15,sedan,JAY-363,,,,
5200 W IRVING PARK ROA,IRVING PARK AND LARAMIE,8/4/2014,01:39:43,police,OYN-256,,,,
4700 W IRVING PARK ROA,IRVING PARK AND KILPATRICK,7/28/2014,02:28:48,suv,JBD-381,,,,
1600 N HOMAN AVENUE,HOMAN/KIMBALL AND NORTH,7/13/2014,20:09:39,ambulance,SUD-036,,,,
4700 W IRVING PARK ROA,IRVING PARK AND KILPATRICK,7/16/2014,23:34:53,truck,KPN-264,,,,
0 S CENTRAL AVENUE,MADISON AND CENTRAL,7/22/2014,01:09:29,emergency,EAS-611,,,,
3100 S DR MARTIN L KING,31ST ST AND MARTIN LUTHER KING DRIVE,7/20/2014,18:57:01,emergency,URK-808,,,,
0 S CENTRAL AVENUE,MADISON AND CENTRAL,7/7/2014,03:21:05,truck,MAT-822,,,,
3100 S DR MARTIN L KING,31ST ST AND MARTIN LUTHER KING DRIVE,7/11/2014,04:00:24,police,MAJ-685,,,,
3100 S DR MARTIN L KING,31ST ST AND MARTIN LUTHER KING DRIVE,7/31/2014,22:55:52,emergency,MTP-804,,,,
11500 S HALSTED STREE,115TH AND HALSTED,7/15/2014,23:49:30,ambulance,TSY-447,,,,
3100 S DR MARTIN L KING,31ST ST AND MARTIN LUTHER KING DRIVE,7/1/2014,08:44:56,police,JGB-326,,,,
0 N ASHLAND AVE,ASHLAND AND MADISON,7/16/2014,05:13:30,police,EUK-164,,,,
0 N ASHLAND AVE,ASHLAND AND MADISON,7/8/2014,14:01:36,suv,OOD-035,,,,
5500 S WENTWORTH AVEN,WENTWORTH AND GARFIELD,8/6/2014,14:12:12,emergency,PEF-121,,,,
4700 W IRVING PARK ROA,IRVING PARK AND KILPATRICK,8/7/2014,13:54:44,truck,UBA-561,,,,
5500 S WENTWORTH AVEN,WENTWORTH AND GARFIELD,7/1/2014,15:47:01,suv,ZPG-730,,,,
5200 W IRVING PARK ROA,IRVING PARK AND LARAMIE,8/7/2014,18:28:45,ambulance,HGE-682,,,,
3100 S DR MARTIN L KING,31ST ST AND MARTIN LUTHER KING DRIVE,7/4/2014,09:24:20,ambulance,CNL-902,,,,
10300 S HALSTED STREE,HALSTED AND 103RD,7/20/2014,06:59:53,ambulance,OPL-052,,,,
10300 S HALSTED STREE,HALSTED AND 103RD,8/7/2014,17:46:06,sedan,HYH-202,,,,
1600 W IRVING PARK ROA,ASHLAND AND IRVING PARK,7/16/2014,11:44:57,truck,JIA-949,,,,
10300 S HALSTED STREE,HALSTED AND 103RD,8/3/2014,14:00:27,emergency,AGU-714,,,,
4700 W IRVING PARK ROA,IRVING PARK AND KILPATRICK,7/13/2014,18:51:34,emergency,FNU-799,,,,
2800 W IRVING PARK ROA,IRVING PARK AND CALIFORNIA,7/25/2014,03:10:30,suv,VYR-321,,,,
2400 W VAN BUREN STREE,VAN BUREN AND WESTERN,7/18/2014,05:00:51,emergency,JFO-735,,,,
0 N ASHLAND AVE,ASHLAND AND MADISON,7/19/2014,20:20:22,police,KLC-073,,,,
2800 N KIMBALL AVENUE,KIMBALL AND DIVERSEY,8/4/2014,21:20:00,police,LGV-083,,,,
0 N ASHLAND AVE,ASHLAND AND MADISON,8/9/2014,13:44:17,truck,NLZ-118,,,,
4700 W IRVING PARK ROA,IRVING PARK AND KILPATRICK,7/14/2014,11:24:33,emergency,ECN-972,,,,
2800 W IRVING PARK ROA,IRVING PARK AND CALIFORNIA,7/21/2014,13:09:58,ambulance,ZBU-826,,,,
2800 N KIMBALL AVENUE,KIMBALL AND DIVERSEY,7/14/2014,00:49:36,emergency,JCL-046,,,,
4700 W IRVING PARK ROA,IRVING PARK AND KILPATRICK,7/17/2014,19:16:06,police,INA-305,,,,
11500 S HALSTED STREE,115TH AND HALSTED,8/5/2014,06:16:01,emergency,NZB-009,,,,
4700 W IRVING PARK ROA,IRVING PARK AND KILPATRICK,8/9/2014,00:28:17,ambulance,IOS-520,,,,
10300 S HALSTED STREE,HALSTED AND 103RD,8/1/2014,20:41:08,ambulance,TRO-865,,,,
4700 W IRVING PARK ROA,IRVING PARK AND KILPATRICK,8/3/2014,21:27:35,ambulance,AYJ-422,,,,
10300 S HALSTED STREE,HALSTED AND 103RD,7/5/2014,09:56:58,truck,LSA-514,,,,
5200 W IRVING PARK ROA,IRVING PARK AND LARAMIE,7/24/2014,13:04:38,police,JLA-303,,,,
2800 N KIMBALL AVENUE,KIMBALL AND DIVERSEY,7/11/2014,01:32:53,police,MNC-215,,,,
2800 N KIMBALL AVENUE,KIMBALL AND DIVERSEY,7/26/2014,16:36:12,ambulance,DLA-638,,,,
5200 W IRVING PARK ROA,IRVING PARK AND LARAMIE,8/2/2014,09:16:31,sedan,DMI-110,,,,
1600 N HOMAN AVENUE,HOMAN/KIMBALL AND NORTH,7/3/2014,00:33:13,truck,LUV-152,,,,
2800 W 31ST,31ST AND CALIFORNIA,8/7/2014,21:55:36,truck,DUG-697,,,,
0 S CENTRAL AVENUE,MADISON AND CENTRAL,8/3/2014,22:13:10,police,UEL-394,,,,
2800 N KIMBALL AVENUE,KIMBALL AND DIVERSEY,7/3/2014,20:39:22,police,BMP-688,,,,
3100 S DR MARTIN L KING,31ST ST AND MARTIN LUTHER KING DRIVE,7/2/2014,09:09:43,sedan,ZEI-096,,,,
10300 S HALSTED STREE,HALSTED AND 103RD,7/12/2014,03:32:57,police,ZZJ-783,,,,
1600 W DIVERSEY PARKWA,ASHLAND AND DIVERSEY,7/13/2014,06:56:04,truck,MEJ-949,,,,
3700 W IRVING PARK ROA,ELSTON AND IRVING PARK,7/1/2014,15:13:02,emergency,OVF-136,,,,
11500 S HALSTED STREE,115TH AND HALSTED,7/23/2014,16:17:30,sedan,SPG-585,,,,
2400 W VAN BUREN STREE,VAN BUREN AND WESTERN,8/8/2014,01:57:14,ambulance,NHG-180,,,,
5200 W IRVING PARK ROA,IRVING PARK AND LARAMIE,7/26/2014,19:26:15,sedan,ZPD-745,,,,
7900 S JEFFERY BOULEV,JEFFERY AND 79TH,7/25/2014,17:05:56,truck,NTT-749,,,,
2800 W IRVING PARK ROA,IRVING PARK AND CALIFORNIA,7/30/2014,04:20:25,truck,FIZ-112,,,,
4700 W IRVING PARK ROA,IRVING PARK AND KILPATRICK,7/20/2014,12:07:29,sedan,KUP-850,,,,
0 S CENTRAL AVENUE,MADISON AND CENTRAL,7/27/2014,13:49:18,ambulance,VPN-278,,,,
4700 W IRVING PARK ROA,IRVING PARK AND KILPATRICK,8/2/2014,03:30:44,police,OTI-417,,,,
2800 N KIMBALL AVENUE,KIMBALL AND DIVERSEY,8/2/2014,02:16:08,emergency,VVO-044,,,,
2800 N KIMBALL AVENUE,KIMBALL AND DIVERSEY,8/7/2014,01:46:27,emergency,KMM-328,,,,
1600 W IRVING PARK ROA,ASHLAND AND IRVING PARK,8/8/2014,05:49:06,emergency,SRM-750,,,,
4700 W IRVING PARK ROA,IRVING PARK AND KILPATRICK,7/1/2014,20:00:53,truck,CUD-362,,,,
5200 W IRVING PARK ROA,IRVING PARK AND LARAMIE,7/2/2014,07:11:54,ambulance,MRZ-809,,,,
11500 S HALSTED STREE,115TH AND HALSTED,8/8/2014,22:16:42,suv,PGN-507,,,,
2800 W 31ST,31ST AND CALIFORNIA,8/3/2014,11:59:50,police,DVZ-891,,,,
1600 W IRVING PARK ROA,ASHLAND AND IRVING PARK,7/24/2014,18:56:16,suv,TUS-969,,,,
0 S CENTRAL AVENUE,MADISON AND CENTRAL,7/1/2014,00:44:48,suv,TBV-265,,,,
5200 W IRVING PARK ROA,IRVING PARK AND LARAMIE,7/21/2014,00:51:02,sedan,MLG-057,,,,
1600 W DIVERSEY PARKWA,ASHLAND AND DIVERSEY,8/9/2014,02:12:54,police,JBZ-724,,,,
3700 W IRVING PARK ROA,ELSTON AND IRVING PARK,8/8/2014,00:18:03,police,ZYN-302,,,,
0 S CENTRAL AVENUE,MADISON AND CENTRAL,7/29/2014,15:05:32,sedan,FMN-400,,,,
4700 W IRVING PARK ROA,IRVING PARK AND KILPATRICK,7/10/2014,17:17:00,emergency,GFG-525,,,,
7900 S JEFFERY BOULEV,JEFFERY AND 79TH,7/20/2014,16:03:57,sedan,ZJL-339,,,,
0 N HAMLIN BOULEVARD,HAMLIN AND MADISON,8/2/2014,01:46:20,emergency,GLD-661,,,,
10300 S HALSTED STREE,HALSTED AND 103RD,7/8/2014,11:58:45,police,ZMA-037,,,,
4700 W IRVING PARK ROA,IRVING PARK AND KILPATRICK,7/24/2014,13:30:24,sedan,ALU-741,,,,
2800 W IRVING PARK ROA,IRVING PARK AND CALIFORNIA,7/14/2014,01:44:37,sedan,NGA-833,,,,
2400 W VAN BUREN STREE,VAN BUREN AND WESTERN,7/27/2014,17:35:19,truck,SUD-020,,,,
2800 W IRVING PARK ROA,IRVING PARK AND CALIFORNIA,7/16/2014,04:36:29,sedan,ABH-731,,,,
0 N HAMLIN BOULEVARD,HAMLIN AND MADISON,8/8/2014,02:16:37,police,FEU-670,,,,
10300 S HALSTED STREE,HALSTED AND 103RD,7/21/2014,20:28:35,ambulance,NGK-868,,,,
1600 W DIVERSEY PARKWA,ASHLAND AND DIVERSEY,7/10/2014,23:07:04,emergency,YBJ-489,,,,
3700 W IRVING PARK ROA,ELSTON AND IRVING PARK,7/23/2014,02:46:57,sedan,JED-945,,,,
0 N HAMLIN BOULEVARD,HAMLIN AND MADISON,7/3/2014,13:27:23,sedan,SDL-462,,,,
2800 W 31ST,31ST AND CALIFORNIA,8/1/2014,21:16:56,police,FGT-350,,,,
3100 S DR MARTIN L KING,31ST ST AND MARTIN LUTHER KING DRIVE,7/18/2014,10:44:34,suv,CTG-881,,,,
4700 W IRVING PARK ROA,IRVING PARK AND KILPATRICK,7/7/2014,22:13:56,police,CUK-392,,,,
2800 W IRVING PARK ROA,IRVING PARK AND CALIFORNIA,7/31/2014,03:50:04,emergency,HRI-537,,,,
5200 W IRVING PARK ROA,IRVING PARK AND LARAMIE,7/9/2014,08:17:31,truck,MPV-408,,,,
11500 S HALSTED STREE,115TH AND HALSTED,8/7/2014,15:15:10,ambulance,VVH-399,,,,
1600 W IRVING PARK ROA,ASHLAND AND IRVING PARK,7/4/2014,00:47:33,emergency,JEU-007,,,,
11500 S HALSTED STREE,115TH AND HALSTED,7/14/2014,09:27:49,ambulance,ACK-255,,,,
2800 N KIMBALL AVENUE,KIMBALL AND DIVERSEY,7/25/2014,08:13:35,emergency,VHY-241,,,,
5500 S WENTWORTH AVEN,WENTWORTH AND GARFIELD,7/14/2014,04:31:21,ambulance,KRA-122,,,,
